GW_CSA_AAA,Strengthened Security Patrol 
GW_NR_AAT,New Republic Reinforced T-47 Flight
GW_PA_AAA,Pentastar Army Platoon
GW_PA_AAB,Pentastar Enforcer Garrison
GW_PA_AAC,Pentastar Infantry Hunter Team
GW_PA_AAD,Pentastar Support Platoon
GW_PA_AAE,Pentastar Light Walker Platoon 
GW_PA_AAF,Reinforced Intelligence Security Raid
GW_PA_AAG,Pentastar Light Strike Squad
GW_PA_AAH,Pentastar Anti-Air Battery
GW_PA_AAI,Pentastar Security Company
GW_PA_AAJ,Pentastar Tracked Platoon
GW_PA_AAK,Augmented Army Commando Team
GW_PA_AAL,Augmented Pentastar COMPNOR Company
GW_PA_AAM,Pentastar Heavy Assault Company
GW_PA_AAN,Pentastar Air Assault Platoon
GW_PA_AAO,Pentastar Artillery Battery
GW_PA_AAP,Pentastar Siege Breaker Unit
GW_PA_AAQ,Inquisitorial Assault Company
GW_PA_AAR,Pentastar Security Force 
GW_ZSINJ_AAA,Zsinj Army Platoon
GW_ZSINJ_AAB,Zsinj Army Detachment
GW_ZSINJ_AAC,Elite Raptor Scouting Corps
GW_ZSINJ_AAD,Zsinj Imperial Compliance Task Force
GW_ZSINJ_AAE,Zsinj Support Platoon
GW_ZSINJ_AAF,Zsinj Repulsor Reconnaissance Platoon
GW_ZSINJ_AAG,Zsinj Light Armour Platoon
GW_ZSINJ_AAH,Zsinj Loyalty Assurance Detachment
GW_ZSINJ_AAI,Zsinj Elite Infantry Battalion
GW_ZSINJ_AAJ,Zsinj Anti-Air Battery 
GW_ZSINJ_AAK,Zsinj Army Infantry Division
GW_ZSINJ_AAL,Zsinj Elite Army Infantry Division
GW_ZSINJ_AAM,Zsinj Artillery Battery
GW_ZSINJ_AAN,Zsinj Self Light Direct Fire Artillery Battery 
GW_ZSINJ_AAO,Black Ops Team
GW_ZSINJ_AAP,Zsinj Ground Assault Army
MB_FOTG_SPACE_CORUSCANT_EVACUATION,Coruscant is under attack by a massive Imperial fleet striking from the Deep Core. Many of the ships in this fleet were believed by New Republic Intelligence to have been destroyed years ago. Garm Bel Iblis and his hopelessly outnumbered defenders make a fighting retreat as the government evacuates...
MB_FOTG_SPACE_KATANA_BATTLE,The Katana Fleet was a task force of two hundred specially modified Dreadnaught Heavy Cruisers. The Galactic Republic commissioned this fleet just after the Stark Hyperspace War in an attempt to bolster the Republic Navy's ability to respond to pirate threats. To reduce crew requirements, the Katana Dreadnaughts were equipped with state-of-the-art automation technology, and the 199 ordinary ships of the fleet were slave-rigged to the flagship's computer systems. Unfortunately, the entire fleet was lost on its maiden voyage; a hive virus drove the crewmen insane and the admiral used the flagship's master controls to send the entire fleet on a blind hyperspace jump. They were not heard from again – until now...
MB_LAND_PLANET_BYSS_02,A team of New Republic commandos led by Lando Calrissian and Wedge Antilles has secretly stowed away in a shipment of Balmorran X-1 Viper war droids bound for Byss. Once they arrive, they will launch a sneak attack using the hijacked war machines. Their objective is as simple as it is audacious: destroy the Emperor's Cloning Facility and end his evil reign once and for all!
MT_FOTG_SPACE_CORUSCANT_EVACUATION,Evacuation of Coruscant
MT_FOTG_SPACE_KATANA_BATTLE,Battle for the Katana Fleet
MT_LAND_PLANET_BYSS_02,Battle of Byss
SET_YOUR_GAME_LANGUAGE_TO_ENGLISH_IF_YOU_READ_THIS,This mod updated to version 3.5.1 on Feb 6th 2026.
TEXT_A_WING_SQUADRON,A-wing Squadron
TEXT_A_WING_SQUADRON_HALF,A-wing Squadron 1/2
TEXT_A_WING_SQUADRON2,A-wing Squadron x2
TEXT_ABILITY_DEPLOY_ARMY,Deploy Army Troopers
TEXT_ABILITY_DEPLOY_ARMY_DESCRIPTION,Deploy a squad of Army troopers from the transport.
TEXT_ABILITY_DEPLOY_POLICE,Deploy Police Enforcers
TEXT_ABILITY_DEPLOY_POLICE_DESCRIPTION,Deploy a squad of Police Enforcers from the transport.
TEXT_ABILITY_DEPLOY_SPEEDER,Deploy Speeder Bike
TEXT_ABILITY_DEPLOY_SPEEDER_DESCRIPTION,Deploy a speeder bike from the transport.
TEXT_ABILITY_RETREAT_HIMS_DESCRIPTION,After a charge-up period this unit makes an emergency jump out of the system and returns to one of your controlled planets. Due to the ship's Hyperwave Inertial Momentum Sustainer this jump can be performed while interdictors are active.
TEXT_ARMORED_INTERCEPTOR_SQUADRON,Armored TIE Interceptor Squadron
TEXT_ARMORED_INTERCEPTOR_SQUADRON_HALF,Armored TIE Interceptor Squadron 1/2
TEXT_ARMORED_INTERCEPTOR2_SQUADRON,Armored TIE Interceptor Squadron x2
TEXT_B_WING_SQUADRON,B-wing Squadron
TEXT_B_WING_SQUADRON_HALF,B-wing Squadron 1/2
TEXT_B_WING_SQUADRON2,B-wing Squadron x2
TEXT_B_WINGE_SQUADRON,B-wing/E Squadron
TEXT_B_WINGE_SQUADRON_HALF,B-wing/E Squadron 1/2
TEXT_B_WINGE_SQUADRON2,B-wing/E Squadron x2
TEXT_BAKURAN_GPA_SQUADRON,General Purpose Attack Fighter Squadron
TEXT_BAKURAN_GPA_SQUADRON_HALF,General Purpose Attack Fighter Squadron 1/2
TEXT_BAKURAN_GPA_SQUADRON2,General Purpose Attack Fighter Squadron x2
TEXT_BTLA4_Y_WING_SQUADRON,BTL-A4 Y-wing Squadron
TEXT_BTLA4_Y_WING_SQUADRON_HALF,BTL-A4 Y-wing Squadron 1/2
TEXT_BTLA4_Y_WING_SQUADRON2,BTL-A4 Y-wing Squadron x2
TEXT_BUTTON_CUSTOM_CAMPAIGN,Game Modes
TEXT_BUTTON_SINGLE_PLAYER_GAMES,Game Modes & Offline Skirmish
TEXT_CAMPAIGN_DESCRIPTION_INSTANTACTION,Instantly build and battle with large, custom fleets of whatever size you like, for whichever factions you like. \n-----\nPlayable Factions: \n\n- New Republic\n\n- Galactic Empire\n\n- Hutt Cartels\n\n- Eriadu Authority\n\n- Greater Maldrood\n\n- Pentastar Alignment\n\n- Zsinj's Empire\n\n- Corporate Sector\n\n- Hapes Consortium\n\n- Empire of the Hand
TEXT_CAMPAIGN_DESCRIPTION_SURVIVAL,See how long you can last while fighting off increasingly difficult waves of enemy forces. \n-----\nPlayable Factions: \n\n- New Republic\n\n- Galactic Empire\n\n- Hutt Cartels\n\n- Eriadu Authority\n\n- Greater Maldrood\n\n- Pentastar Alignment\n\n- Zsinj's Empire\n\n- Corporate Sector\n\n- Hapes Consortium\n\n- Empire of the Hand
TEXT_CAMPAIGN_DIVIDER_DESCRIPTION_GAMEMODES,Extra game modes available below
TEXT_CAMPAIGN_DIVIDER_HEADER_GAMEMODES,==== GAME MODES =====================================
TEXT_CAMPAIGN_DIVIDER_PROGRESSIVE,Era progressive maps represent most of the area, time period, and factions of the mod. As time passes, events, unit locks and unlocks, and researches will trigger that reflect the broad history of the Star Wars Galaxy.\n\n---\n\nThe starting era may be configured to change the planet layout of the map as well as the territory and forces of each faction. Territory is emphasized to keep playable factions on approximately equal footing with each other.\n\n---\n\nFull Galaxy maps include the Unknown Regions and have slightly more planets overall. Known Galaxy maps do not have the Unknown Regions but will have more planets within known space.
TEXT_CAMPAIGN_EVENT_ERAS_DISCLAIMER,Before completing Regime change objectives, keep in mind that Regime progression is not required to win nor is it always favourable. Consider the consequences carefully before proceeding.
TEXT_CAMPAIGN_EVENT_ERAS_DISCLAIMER2,Caution: Entering Dark Empire will lock you into your existing regime for the rest of the game.
TEXT_CAMPAIGN_EVENT_ERAS_EMPIRE,As the Galactic Empire, you will have several regime options you may choose over the course of the game in addition to those you may gain from integrating other Imperial factions. Each regime comes with a unique set of heroes and also includes minor changes to your roster.
TEXT_CAMPAIGN_EVENT_ERAS_EMPIRE_FINAL,No further Imperial regimes are available past this point.
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_LOSS,Daala's regime will remove all Crimson Empire heroes
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_LOSS_HERO,The following heroes will be lost in Daala's regime:
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_SSD,- INTEGRATION UPGRADE: Integrated Eriadu Authority will allow upgrading Daala's Gorgon (ISD-I) to Knight Hammer (Executor).
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_VOLUNTARY,If you complete the build option, Carnor Jax will be deposed, and to save the Empire from disunity Natasi Daala will assume command of Imperial forces.
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_CLONING_FACILITY,If either Palpatine dies or the Emperor's Cloning Facility is destroyed, the Dark Empire will end and your faction will automatically progress into Carnor Jax's regime.
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_LOSS_HERO,The following heroes will despawn when the Dark Empire ends:
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_LOSS_UNIT,The following units will be locked when the Dark Empire ends:
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_LOSS_UNIT_LIST,- Eclipse, Sovereign, Hunter-Killer Probot, CompForce Assault Trooper, Dark Stormtrooper, Dark Side Elite, Chrysalide, Dark Side Squadron
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_OUTSIDE,If Palpatine is slain or the Emperor's Cloning Facility is destroyed, the Dark Empire will end. Carnor Jax and his Council will join your faction, which will take on the name "Galactic Empire."
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_VOLUNTARY,If you complete the build option to support Carnor Jax, Palpatine's Dark Empire will end and be succeeded by Jax's Crimson Empire with his unique set of heroes.
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_LOSS,The following will be lost upon transition into the next regime:
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_LOSS_DAALA,If Daala dies before this build option is completed, you will not have her for Pellaeon's regime!
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_LOSS_HERO,The following heroes will be lost in Pellaeon's regime:
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_SSD,- INTEGRATION UPGRADE: Integrated Pentastar Alignment will allow upgrading Pellaeon's Chimaera (ISD-II) to Reaper (Executor).
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_SSD2,- ALTERNATIVE UPGRADE: Upgrade Pellaeon's Chimaera (ISD-II) to Megador (Mandator-III).
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_SSD3,- REGIME PROGRESSION UPGRADE: Upgrade Rogriss' Agonizer (ISD-I) to Dominion (Bellator).
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_VOLUNTARY,If you complete the build option, Pellaeon will reluctantly take command of the Imperial forces with his unique hero roster, including Natasi Daala (Venator).
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_CIUTRIC_HEGEMONY,- Ciutric Hegemony will take control of the following planets if the Galactic Empire controls them. [ Ciutric IV, Vrosynri VIII, Corvis Minor IV ]
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_FAILURE,If Thrawn is killed:
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_HERO_LOSS,The following heroes will be lost after Grand Admiral Thrawn's return depending on your current regime:
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_NO_REGIME,No further regimes will be available outside ones gained from integrating Imperial faction.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_UNITS,UNLOCKS: Boarding Shuttle, but also: AT-PT and Beta ETR-3 if previously locked.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_UNITS_LOSS,LOCKS: Executor Star Dreadnaught, but also: PX-10, Treaded Neutron Torch and Ye-4 Gunship if previously unlocked.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_VOLUNTARY,Completing the regime progression build option will replace the current regime with Thrawn and his unique set of heroes.
TEXT_CAMPAIGN_EVENTLOG_NIGHTHAMMER_AVAILABLE,The Night Hammer may now be constructed.
TEXT_CAMPAIGN_EVENTLOG_REGIMECHANGE,Imperial Regime Change
TEXT_CAMPAIGN_EVENTLOG_ZEROCOMMANDEMERGE,Zero Command has emerged if Kalist VI was controlled by the Galactic Empire.
TEXT_CAMPAIGN_MALDROOD_HINT_ONE,The Bellator can be built only at Kuat and Fondor.
TEXT_CAMPAIGN_MALDROOD_HINT_ZSINJ,If you control Kuat when Zsinj dies, Rogriss will retake it for the Galactic Empire.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION,Infiltrate Weapons Shipment
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_COMPLETE,Zevulon Veers: We've arrived on Byss. It's time to strike!
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_DESCRIPTION,Bring Lando Calrissian or Wedge Antilles to Balmorra to hide a strike force in a weapons shipment to Byss.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_DIALOG,Mon Mothma: Governor Beltane of Balmorra has provided us with valuable intelligence - the itinerary of a transport full of Balmorran war machines headed for Byss. Generals Antilles and Calrissian have proposed that we smuggle a strike team onto this transport and launch a surprise attack at the heart of the Empire.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_LOST,Mon Mothma: Today is a dark day for all the peoples of the galaxy. Let us remember the brave soldiers who paid the ultimate price for a slim chance to deal a great blow to the Empire. We must fight on, so their sacrifice will not be in vain.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_SET_OUT,Zevulon Veers: Hiding in these war droids isn't exactly comfortable, but we'll definitely slip by the Imperial inspections. It's going to be a long ride...
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_WON,Zevulon Veers: We did it! The Empire has been driven off of Byss! I can't believe it!
TEXT_CAMPAIGN_OBJECTIVE_CONQUER_CORUSCANT,Conquer Coruscant
TEXT_CAMPAIGN_OBJECTIVE_FIND_TANTISS,Find Mount Tantiss
TEXT_CAMPAIGN_OBJECTIVE_NEW_APPRENTICE,A New Apprentice
TEXT_CAMPAIGN_OBJECTIVE_NEW_APPRENTICE_DESC1,- Defeat Luke Skywalker to capture him for the Emperor and sway him to the Dark Side.
TEXT_CAMPAIGN_OBJECTIVE_NEW_APPRENTICE_DESC2,- Skywalker's journey to the Dark Side will only become irreversible when Leia is defeated. If the Emperor or Dark Luke are defeated while Leia lives, Luke will return to the light.
TEXT_CAMPAIGN_OBJECTIVE_RAID_NKLLON,Raid Nkllon
TEXT_CAMPAIGN_OBJECTIVE_SAVE_LUKE,Return Luke to the Light
TEXT_CAMPAIGN_OBJECTIVE_SAVE_LUKE_DESCRIPTION,Keep Leia alive and defeat Luke Skywalker to convince him to return to the light.
TEXT_CAMPAIGN_OBJECTIVE_SECURE_HOFFNER,Follow derelicts
TEXT_CAMPAIGN_SINGLE_EVENT_NIGHTHAMMER_TIMER,Night Hammer (Executor) will join your forces after 12 cycles.
TEXT_CAMPAIGN_SINGLE_FIP_GUARDIAN,Admiral Ackbar can take command of the Guardian (Executor-class Star Dreadnought) at the shipyards of Bilbringi. (Home One and Galactic Voyager are unavailable in this scenario.)
TEXT_CAMPAIGN_SINGLE_FIP_MEGADOR,Admiral Pellaeon can take command of the Megador (Mandator III-class Star Dreadnought) at the shipyards of Bilbringi.
TEXT_CAMPAIGN_SINGLE_ORINDA_ADUMAR,The Adumar system will unlock at the end of Cycle 7.
TEXT_CAMPAIGN_SINGLE_ORINDA_LUSANKYA,Wedge Antilles in command of Lusankya (Executor-class Star Dreadnought) will arrive at Bilbringi at the end of Cycle 4.
TEXT_CAMPAIGN_SINGLE_ORINDA_MEGADOR_DOMINION,Once the Empire captures Orinda, Teren Rogriss in command of Dominion (Bellator-class Star Dreadnought) will arrive at Yaga Minor and Megador (Mandator III-class Star Dreadnought) will arrive at Agamar.
TEXT_CAMPAIGN_SINGLE_SHADOW_HAND_EMPIRE_FRACTURES,If Emperor Palpatine dies or the Emperor's Cloning Facility is destroyed, Luke Skywalker, Sedriss, or Carnor Jax will take command of the Galactic Empire. Also, the following planets will break away if they belong to the Galactic Empire:
TEXT_CAMPAIGN_SINGLE_SHADOW_HAND_EMPIRE_FRACTURES_1,- Kampe will join the Eriadu Authority.
TEXT_CAMPAIGN_SINGLE_SHADOW_HAND_EMPIRE_FRACTURES_2,- Centares, Metalorn, Balamak, and Hakassi will join the Greater Maldrood.
TEXT_CAMPAIGN_SINGLE_SHADOW_HAND_EMPIRE_FRACTURES_3,- Entralla, Ord Trasi, Garqi, and Borosk will join the Pentastar Alignment.
TEXT_CAMPAIGN_SINGLE_SHADOW_HAND_EMPIRE_FRACTURES_4,- Kalist VI and Thomork will join Zero Command.
TEXT_CAMPAIGN_SINGLE_ZSINJ_CSA_EMERGE_EMPIRE_04,Etti IV, Ession and Bonadan will leave Zsinj's Empire if Zsinj dies.
TEXT_CAMPAIGN_TC_NKLLON_INSTRUCTIONS,Conquer Nkllon to scavenge mining equipment for boarding operations
TEXT_CAMPAIGN_TC_OBROA_INSTRUCTIONS,Conquer Obroa-skai to unlock Wayland and the technology storehouse at Mount Tantiss
TEXT_CAMPAIGN_TC_PANTOLOMIN_INSTRUCTIONS,Conquer Pantolomin to unlock Deep Space
TEXT_CLUTCH_SQUADRON,Clutch Squadron
TEXT_CLUTCH_SQUADRON_HALF,Clutch Squadron 1/2
TEXT_CLUTCH_SQUADRON2,Clutch Squadron x2
TEXT_COMMAND_HAMMER32,S-1 FireHawke Repulsortank, Hammer 3:2
TEXT_COMPANY_ADC,Authority Defense Collective
TEXT_COMPANY_ADC_DESCRIPTION,Products from a collection of small CSA companies: Etti Lighter, GX12 Hovervan, and X10 Groundcruiser.
TEXT_COMPANY_ALIGNMENT_CAPITAL,Chamber of Order
TEXT_COMPANY_ARAKYD,Arakyd Industries
TEXT_COMPANY_ARAKYD_DESCRIPTION,All Arakyd products: XR-85 Tank Droid, Hunter-Killer Probot, and Probe Droid variants.
TEXT_COMPANY_ARATECH_DESCRIPTION,All Aratech products: 74-Z Speeder Bike Scout, 64-Y Swift 3 Repulsor Sled, and Infantry Support Platform.
TEXT_COMPANY_BAKTOID,Baktoid Industrial Systems
TEXT_COMPANY_BAKTOID_DESCRIPTION,All Baktoid products: B1 Battle Droid, Destroyer Droid-II, Dwarf Spider Droid, and CA Artillery.
TEXT_COMPANY_BALMORRAN_ARMS_DESCRIPTION,Balmorran Arms and licensed products: B1 Battle Droid, SD-6 Hulk Droid, SD-9 Battle Droid, SD-10 Battle Droid, X-1 Viper, AT-ST Walker variants.
TEXT_COMPANY_BLACK_15,Black-15
TEXT_COMPANY_BLACK_15_DESCRIPTION,An ex-Imperial orbital facility manned by Yevethan technicians of surpassing skill. Provides a discount and time reduction on all military hardware.
TEXT_COMPANY_BOTHAWUI_DESCRIPTION,All Bothawui Shipyards products: Bothan Assault Cruiser.
TEXT_COMPANY_BOTHAWUI_SHIPYARDS,Bothawui Shipyards
TEXT_COMPANY_CARIDA_ACADEMY,Academy of Carida
TEXT_COMPANY_CARIDA_ACADEMY_DESCRIPTION,The Academy of Carida is the most prestigious branch of the Imperial Military Academy, particularly its grueling stormtrooper program featuring extensive field training across the high G world.
TEXT_COMPANY_CEC_DESCRIPTION,All Corellian Engineering Corporation products: Gozanti Cruiser, YZ-775 Medium Freighter, Interceptor IV Frigate, Action VI Tender, CR90, CR92 Assassin, Charger C70, DP20, Buccaneer Corvette, CC-7700, CC-7700/E, CEC Light Cruiser, Starbolt Assault Carrier and Proficient variants.
TEXT_COMPANY_CEDF_HQ,CEDF Complex
TEXT_COMPANY_CEDF_HQ_DESCRIPTION,All Chiss Expansionary Defense Fleet products: Krini Firewolf, Fruoro Firewolf, Efodio Nightdragon Fleet Tender, Syndic Nightdragon, Intego Nightdragon.
TEXT_COMPANY_CHISS_CAPITAL,House Palace
TEXT_COMPANY_CHISS_OFFICE,House Outpost
TEXT_COMPANY_COLICOID,Colicoid Creation Nest
TEXT_COMPANY_COLICOID_DESCRIPTION,All Colicoid Creation Nest products: Destroyer Droid and Annihilator Droid.
TEXT_COMPANY_CORELLIAN_CAPITAL,Diktat's Tower
TEXT_COMPANY_CSA_CAPITAL,Executive Directorship Chamber
TEXT_COMPANY_CSA_CAPITAL_DESCRIPTION,This building serves as the administrative headquarters of the Corporate Sector. Provides a significant bonus income.
TEXT_COMPANY_CSA_OFFICE,Market Supervisor's Office
