TEXT_2_WARPOD_SQUADRON,#2 Warpod Squadron
TEXT_COMPANY_GARRISON_DAMORIAN,Corporate Security Trooper Squad: 1 / 1
TEXT_COMPANY_GARRISON_GUARJA,Mercenary Squad: 1 / 1
TEXT_COMPANY_GARRISON_INCOM,Police Enforcer Carbineer Squad: 1 / 1
TEXT_COMPANY_GARRISON_JEDI_TEMPLE1,Temple Security Trooper Squad: 2 / 2
TEXT_COMPANY_GARRISON_JEDI_TEMPLE2,Jedi Guardian: 1 / 1
TEXT_COMPANY_GARRISON_JEDI_TEMPLE3,Jedi Consular: 1 / 1
TEXT_COMPANY_GARRISON_KDY,AT-PT Walker: 2 / 2
TEXT_COMPANY_GARRISON_MANDAL_MOTORS,Mandalorian Soldier Squad: 2 / 2
TEXT_COMPANY_GARRISON_MEKUUN,Police Enforcer Carbineer Squad: 1 / 1
TEXT_COMPANY_GARRISON_RENDILI,Corporate Security Trooper Squad: 1 / 1
TEXT_COMPANY_GARRISON_SIENAR,Corporate Security Trooper Squad: 1 / 1
TEXT_COMPANY_GARRISON_SOROSUUB,Sullustan Local Militia: 1 / 1
TEXT_COMPANY_GARRISON_TAIM_BAK,Corporate Security Trooper Squad: 1 / 1
TEXT_COMPANY_GARRISON_UBRIKKIAN,Mercenary Squad: 1 / 1
TEXT_COMPANY_GARRISON_UULSHOS,Defense Force Trooper Anti-Personnel Squad: 1 / 1
TEXT_COMPANY_GUARJA,Guarja Shipyards
TEXT_COMPANY_HOERSCH_KESSEL,Hoersch-Kessel Drive, Inc.
TEXT_COMPANY_INCOM,Incom Corporation
TEXT_COMPANY_MANDAL_MOTORS,MandalMotors
TEXT_COMPANY_MEKUUN,Mekuun Corporation
TEXT_COMPANY_TAIM_BAK,Taim & Bak
TEXT_COMPANY_TELGORN,Telgorn Corporation
TEXT_COMPANY_TRANSGALMEG,TransGalMeg Industries
TEXT_COMPANY_UBRIKKIAN,Ubrikkian Industries
TEXT_COMPANY_UULSHOS,Uulshos Manufacturing
TEXT_CONQUEST_GOVERNMENT_HUTTS_GANIS_NAL_AVAILABLE,[Ganis Nal has joined your forces]
TEXT_CONQUEST_GOVERNMENT_HUTTS_HUTT_BOARDING_SHUTTLE_AVAILABLE,[Boarding Shuttle Unlocked]
TEXT_CONQUEST_GOVERNMENT_HUTTS_RIBOGA_AVAILABLE,[Riboga has joined your forces] 
TEXT_CONQUEST_GOVERNMENT_HUTTS_TAGOONTA_AVAILABLE,[Tagoonta has joined your forces]
TEXT_CONQUEST_GOVERNMENT_HUTTS_TOBBA_YTOBBA_AVAILABLE,[Tobba has joined your forces]
TEXT_CONQUEST_GOVERNMENT_HUTTS_ULAL_AVAILABLE,[Ulal has joined your forces]
TEXT_DISPLAY_SECONDARY_GOLAN_ONE,Secondary Defense: Golan-I Station
TEXT_DISPLAY_SECONDARY_GOLAN_TWO,Secondary Defense: Golan-II Station
TEXT_DISPLAY_SECONDARY_VALOR,Secondary Defense: Valor Station
TEXT_DOCUMENTATION_BODY_GTS_1,| 250   | - Planetary Hypervelocity Gun
TEXT_DOCUMENTATION_BODY_GTS_2,| 1500 | - Planetary Ion Cannon
TEXT_DOCUMENTATION_BODY_INFLUENCE_FIGHTERS_GEONOSIS,Geonosis: Nantex, Kolivex at 9+ Influence
TEXT_DOCUMENTATION_BODY_INFLUENCE_FIGHTERS_MANDALORIAN_WORLDS,Mandalorian worlds: Concord Dawn, Mandalore, Ordo, Vorpaya, Zanbar
TEXT_DOCUMENTATION_BODY_INFLUENCE_FIGHTERS_UMBARA,Umbara: Zenuas 33
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_TEMPEST,Research: Tempest Cruiser. [ Research always available ]
TEXT_DUNELIZARD_FIGHTER_SQUADRON,Dunelizard Fighter Squadron
TEXT_DUNELIZARD_FIGHTER_SQUADRON_HALF,Dunelizard Fighter Squadron 1/2
TEXT_DUNELIZARD_FIGHTER_SQUADRON2,Dunelizard Fighter Squadron x2
TEXT_DUNELIZARD_INTERCEPTOR_SQUADRON,Dunelizard Interceptor Squadron
TEXT_DUNELIZARD_INTERCEPTOR_SQUADRON_HALF,Dunelizard Interceptor Squadron 1/2
TEXT_DUNELIZARD_INTERCEPTOR_SQUADRON2,Dunelizard Interceptor Squadron x2
TEXT_DWARF_SPIDER_DROID_COMPANY,Dwarf Spider Droid Company
TEXT_DWARF_SPIDER_DROID_SQUAD,Dwarf Spider Droid Squad
TEXT_ECONOMY_BOSSATO,Bossato the Hutt - Income
TEXT_ECONOMY_VORRU,Fliry Vorru - Income
TEXT_EVENT_SSURUSSK_SELECTOR_BODY,Ssurussk's Nebula Raiders
TEXT_G1_SQUADRON,G-1 Starfighter Squadron
TEXT_G1_SQUADRON_HALF,G-1 Starfighter Squadron 1/2
TEXT_G1_SQUADRON2,G-1 Starfighter Squadron x2
TEXT_H_WING_SQUADRON,H-wing Squadron
TEXT_H_WING_SQUADRON_HALF,H-wing Squadron 1/2
TEXT_H_WING_SQUADRON2,H-wing Squadron x2
TEXT_HEADHUNTER_BOMBER_SQUADRON,Z-95 Bomber Squadron
TEXT_HEADHUNTER_BOMBER_SQUADRON_HALF,Z-95 Bomber Squadron 1/2
TEXT_HEADHUNTER_BOMBER_SQUADRON2,Z-95 Bomber Squadron x2
TEXT_HEADHUNTER_ML_SQUADRON,Z-95ML Squadron
TEXT_HEADHUNTER_ML_SQUADRON_HALF,Z-95ML Squadron 1/2
TEXT_HEADHUNTER_ML_SQUADRON2,Z-95ML Squadron x2
TEXT_HEADHUNTER_SQUADRON,Z-95 Headhunter Squadron
TEXT_HEADHUNTER_SQUADRON_HALF,Z-95 Headhunter Squadron 1/2
TEXT_HEADHUNTER_SQUADRON2,Z-95 Headhunter Squadron x2
TEXT_HEADHUNTER_SQUADRON3,Z-95 Headhunter Squadron x3
TEXT_HEADHUNTER_XT_SQUADRON,Z-95XT Squadron
TEXT_HEADHUNTER_XT_SQUADRON_HALF,Z-95XT Squadron 1/2
TEXT_HEADHUNTER_XT_SQUADRON2,Z-95XT Squadron x2
TEXT_HERO_ARDELLA,Stima Ardella
TEXT_HERO_AYCEN,Frei Aycen
TEXT_HERO_BOBA_FETT,Boba Fett
TEXT_HERO_BORVO,Borvo
TEXT_HERO_BOSSATO,Bossato
TEXT_HERO_BOSSK,Bossk
TEXT_HERO_BROADSIDE,Broadside
TEXT_HERO_CODY,Cody
TEXT_HERO_DENGAR,Dengar
TEXT_HERO_DENGAR_TEAM,Dengar
TEXT_HERO_DENN_WESSEX,Denn Wessex
TEXT_HERO_DREDNAR,Drek Drednar
TEXT_HERO_FENN_SHYSA,Fenn Shysa
TEXT_HERO_GANIS,Ganis
TEXT_HERO_GARM_BEL_IBLIS,Garm Bel Iblis
TEXT_HERO_GEVTES,Pagda Gevtes
TEXT_HERO_GRANT,Octavian Grant
TEXT_HERO_GRUNGER,Josef Grunger
TEXT_HERO_HAUSER,Lynch Hauser
TEXT_HERO_HOLCHAS,Holchas Ap-langhe
TEXT_HERO_JABBA,Jabba Desilijic Tiure
TEXT_HERO_JAN_DODONNA,Jan Dodonna
TEXT_HERO_JAN_DODONNA_TEAM,Jan Dodonna
TEXT_HERO_JONA_GRUMBY,Jona Grumby
TEXT_HERO_KAINE,Ardus Kaine
TEXT_HERO_KEEK,Keek
TEXT_HERO_LABANSAT,Labansat
TEXT_HERO_LOOSE_CANNON,Loose Cannon Pirates
TEXT_HERO_LORKA_GEDYC,Lorka Gedyc
TEXT_HERO_MIKA,Mika Anjiliac Chiera
TEXT_HERO_MON_MOTHMA,Mon Mothma
TEXT_HERO_NIAL_DECLANN,Nial Declann
TEXT_HERO_PALPATINE,Palpatine
TEXT_HERO_PARELLA,Parella Jiramma Baco
TEXT_HERO_PELLAEON,Gilad Pellaeon
TEXT_HERO_PESTAGE,Sate Pestage
TEXT_HERO_PLAKOT,Plakot the Hutt
TEXT_HERO_POPARA,Popara Anjiliac Diresto
TEXT_HERO_PRAJI,Nahdonnis Praji
TEXT_HERO_QUAFFUG,Quaffug the Hutt
TEXT_HERO_QUINCE,Quintik Kahr
TEXT_HERO_RANDOM_PIRATE,Seek out pirates
TEXT_HERO_RANDOM_PIRATE_CORVETTE,[ Corvette Tier ]
TEXT_HERO_RANDOM_PIRATE_FIGHTER,[ Fighter Tier ]
TEXT_HERO_RANDOM_PIRATE_FLEET,[ Fleet Tier ]
TEXT_HERO_RANDOM_PIRATE_LEGEND,[ Legend Tier ]
TEXT_HERO_RENTHAL,Drea Renthal
TEXT_HERO_RESHUL,Reshul
TEXT_HERO_RIBOGA,Riboga
TEXT_HERO_SHEA_HUBLIN,Shea Hublin
TEXT_HERO_SLAGORTH,Slagorth
TEXT_HERO_SMEBBA_DUNK,Smebba Dunk
TEXT_HERO_SSURUSSK,Ssurussk
TEXT_HERO_TAGOONTA,Tagoonta
TEXT_HERO_TALLON,Adar Tallon
TEXT_HERO_TARGRIM,Big Jak Targrim
TEXT_HERO_TARNTA_BANE,Tarnta Bane
TEXT_HERO_TERRINALD_SCREED,Terrinald Screed
TEXT_HERO_THALASSIAN,Thalassian Slaver Group
TEXT_HERO_THERBON,Therbon
TEXT_HERO_TOBBA,Tobba
TEXT_HERO_TRONOX,Tronox
TEXT_HERO_TROONOL,Troonol
TEXT_HERO_ULAL,Ulal
TEXT_HERO_VANGAR,Vangar
TEXT_HERO_VEILED_QUEEN,Pirate Queen of the Veiled Sorority
TEXT_HERO_VORRU,Fliry Vorru
TEXT_HERO_VOSS_PARCK,Voss Parck
TEXT_HERO_VULTURE_PIRATES,Vulture Pirates
TEXT_HERO_ZAN_DANE,Zan Dane
TEXT_HERO_ZORBA,Zorba Desilijic Tiure
TEXT_I_BEAM_SQUADRON,I-BEAM Star Fighter Squadron
TEXT_I_BEAM_SQUADRON_HALF,I-BEAM Star Fighter Squadron 1/2
TEXT_I_BEAM_SQUADRON2,I-BEAM Star Fighter Squadron x2
TEXT_IMPERIAL_ATPT_SQUAD,AT-PT Walker Company
TEXT_KIMOGILA_SQUADRON,M12-L Kimogila Heavy Fighter Squadron
TEXT_KIMOGILA_SQUADRON_HALF,M12-L Kimogila Heavy Fighter Squadron 1/2
TEXT_KIMOGILA_SQUADRON2,M12-L Kimogila Heavy Fighter Squadron x2
TEXT_MORNINGSTAR_A_SQUADRON,MorningStar-A Starfighter Squadron
TEXT_MORNINGSTAR_A_SQUADRON_HALF,MorningStar-A Starfighter Squadron 1/2
TEXT_MORNINGSTAR_A_SQUADRON2,MorningStar-A Starfighter Squadron 2x
TEXT_MORNINGSTAR_B_SQUADRON,MorningStar-B Starfighter Squadron
TEXT_MORNINGSTAR_B_SQUADRON_HALF,MorningStar-B Starfighter Squadron 1/2
TEXT_MORNINGSTAR_B_SQUADRON2,MorningStar-B Starfighter Squadron 2x
TEXT_MORNINGSTAR_C_SQUADRON,MorningStar-C Starfighter Squadron
TEXT_MORNINGSTAR_C_SQUADRON_HALF,MorningStar-C Starfighter Squadron 1/2
TEXT_MORNINGSTAR_C_SQUADRON2,MorningStar-C Starfighter Squadron 2x
TEXT_N1_SQUADRON,N-1 Starfighter Squadron
TEXT_N1_SQUADRON_HALF,N-1 Starfighter Squadron 1/2
TEXT_N1_SQUADRON2,N-1 Starfighter Squadron x2
TEXT_NANTEX_SQUADRON,Nantex Starfighter Squadron
TEXT_NANTEX_SQUADRON_HALF,Nantex Starfighter Squadron 1/2
TEXT_NANTEX_SQUADRON2,Nantex Starfighter Squadron x2
TEXT_PIRATE_BASE,Pirate Refuge Base
TEXT_PLANET_INFO_BESPIN_INFLUENCE_REWARD,• Unlocks Storm Cloud Cars at 7+ influence
TEXT_PLANET_INFO_COLLA_INFLUENCE_REWARD,• Unlocks Scorpenek Annihilator Droids at 10 influence
TEXT_PLANET_INFO_THYRSUS_INFLUENCE_REWARD,• Unlocks Sun Guard at 7+ influence
TEXT_PLANET_INFO_UMBARA_INFLUENCE_REWARD,• Unlocks Umbaran Hover Tanks at 7+ influence
TEXT_R22_SPEARHEAD_SQUADRON,R-22 Spearhead Squadron
TEXT_R22_SPEARHEAD_SQUADRON_HALF,R-22 Spearhead Squadron 1/2
TEXT_R22_SPEARHEAD_SQUADRON2,R-22 Spearhead Squadron 2x
TEXT_R42_SQUADRON,R-42 Starchaser Squadron
TEXT_R42_SQUADRON_HALF,R-42 Starchaser Squadron x2
TEXT_R42_SQUADRON2,R-42 Starchaser Squadron 1/2
TEXT_REBEL_TANK_BUSTER_SQUAD,Missile Soldier Team
TEXT_SCURRG_H6,Scurrg H-6 
TEXT_SCURRG_H6_PROTOTYPE,Scurrg H-6 Prototype
TEXT_SCURRG_H6_PROTOTYPE_SQUADRON,Scurrg H-6 Prototype Squadron
TEXT_SCURRG_H6_PROTOTYPE_SQUADRON_HALF,Scurrg H-6 Prototype Squadron 1/2
TEXT_SCURRG_H6_PROTOTYPE_SQUADRON2,Scurrg H-6 Prototype Squadron x2
TEXT_SCURRG_H6_SQUADRON,Scurrg H-6 Squadron
TEXT_SCURRG_H6_SQUADRON_HALF,Scurrg H-6 Squadron 1/2
TEXT_SCURRG_H6_SQUADRON2,Scurrg H-6 Squadron x2
TEXT_SCYK_FIGHTER_SQUADRON,M3-A Scyk Fighter Squadron
TEXT_SCYK_FIGHTER_SQUADRON_HALF,M3-A Scyk Fighter Squadron 1/2
TEXT_SCYK_FIGHTER_SQUADRON2,M3-A Scyk Fighter Squadron x2
TEXT_SCYK_HEAVY_FIGHTER_SQUADRON,M3-A Scyk Heavy Fighter Squadron
TEXT_SCYK_HEAVY_FIGHTER_SQUADRON_HALF,M3-A Scyk Heavy Fighter Squadron 1/2
TEXT_SCYK_HEAVY_FIGHTER_SQUADRON2,M3-A Scyk Heavy Fighter Squadron x2
TEXT_SPEECH_TEMPEST_RESEARCH_FINISHED,Tempest research finished.
TEXT_STARCHASER_SQUADRON,R-41 Starchaser Squadron
TEXT_STARCHASER_SQUADRON_HALF,R-41 Starchaser Squadron 1/2
TEXT_STARCHASER_SQUADRON2,R-41 Starchaser Squadron x2
TEXT_STATBLOCK_AGGRESSORFIGHTER_BASE,Health: 22 | Shields: 10
TEXT_STATBLOCK_AGGRESSORFIGHTER_MOVE,Speed: 7.6 | Maneuverability: 5.28
TEXT_STATBLOCK_AGGRESSORFIGHTER_SQUADRON,Squadron: 12x Aggressor Assault Fighter
TEXT_STATBLOCK_AGGRESSORFIGHTER_SQUADRON_DOUBLE,Squadron: 24x Aggressor Assault Fighter
TEXT_STATBLOCK_AGGRESSORFIGHTER_SQUADRON_HALF,Squadron: 6x Aggressor Assault Fighter
TEXT_STATBLOCK_AGGRESSORFIGHTER_WEAP1,1x Heavy Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_AGGRESSORFIGHTER_WEAP2,1x Fighter Ion Cannon: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_ARC170_BASE,Health: 18 | Shields: 12
TEXT_STATBLOCK_ARC170_ESCORT_BASE,Health: 90 | Shields: 75
TEXT_STATBLOCK_ARC170_MOVE,Speed: 5.9 | Maneuverability: 3.25
TEXT_STATBLOCK_ARC170_SQUADRON,Squadron: 12x ARC-170
TEXT_STATBLOCK_ARC170_SQUADRON_DOUBLE,Squadron: 24x ARC-170
TEXT_STATBLOCK_ARC170_SQUADRON_HALF,Squadron: 6x ARC-170
TEXT_STATBLOCK_ARC170_WEAP1,1x Heavy Fighter Laser Cannon: 4 / 2.0s / 1.1km
TEXT_STATBLOCK_ARC170_WEAP2,1x Aft Fighter Laser Cannon: 2 / 2.0s / 1.0km
TEXT_STATBLOCK_ARC170_WEAP3,1x Fighter Concussion Missile (AF): 1 / 37.5s / 1.8km
TEXT_STATBLOCK_ARC170_WEAP4,1x Fighter Proton Torpedo (AC): 1 / 37.5s / 1.8km
TEXT_STATBLOCK_ATL_INTERCEPTOR_BASE,Health: 7 | Unshielded
TEXT_STATBLOCK_ATL_INTERCEPTOR_MOVE,Speed: 6.5 | Maneuverability: 5.1
TEXT_STATBLOCK_ATL_INTERCEPTOR_SQUADRON,Squadron: 12x ATL Interceptor
TEXT_STATBLOCK_ATL_INTERCEPTOR_SQUADRON_DOUBLE,Squadron: 24x ATL Interceptor
TEXT_STATBLOCK_ATL_INTERCEPTOR_SQUADRON_HALF,Squadron: 6x ATL Interceptor
TEXT_STATBLOCK_ATL_INTERCEPTOR_WEAP1,1x Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_BTLB_YWING_SQUADRON,Squadron: 12x BTL-B Y-wing
TEXT_STATBLOCK_BTLB_YWING_SQUADRON_DOUBLE,Squadron: 24x BTL-B Y-wing
TEXT_STATBLOCK_BTLB_YWING_SQUADRON_HALF,Squadron: 6x BTL-B Y-wing
TEXT_STATBLOCK_BTLS1_YWING_SQUADRON,Squadron: 12x BTL-S1 Y-wing
TEXT_STATBLOCK_BTLS1_YWING_SQUADRON_DOUBLE,Squadron: 24x BTL-S1 Y-wing
TEXT_STATBLOCK_BTLS1_YWING_SQUADRON_HALF,Squadron: 6x BTL-S1 Y-wing
TEXT_STATBLOCK_CLOAKSHAPE_BASE,Health: 18 | Shields: 4
TEXT_STATBLOCK_CLOAKSHAPE_CW_BASE,Health: 18 | Unshielded
TEXT_STATBLOCK_CLOAKSHAPE_CW_MOVE,Speed: 6.8 | Maneuverability: 3.6
TEXT_STATBLOCK_CLOAKSHAPE_CW_WEAP1,1x Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_CLOAKSHAPE_CW_WEAP2,1x Fighter Concussion Missile: 1 / 25.0s / 1.8km
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON,Squadron: 12x Cloakshape
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON_DOUBLE,Squadron: 24x Cloakshape
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON_HALF,Squadron: 6x Cloakshape
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON_TRIPLE,Squadron: 36x Cloakshape
TEXT_STATBLOCK_CLOAKSHAPE_STOCK_BASE,Health: 15 | Unshielded
TEXT_STATBLOCK_CLOAKSHAPE_STOCK_MOVE,Speed: 6.3 | Maneuverability: 3.2
TEXT_STATBLOCK_CLOAKSHAPE_STOCK_WEAP1,1x Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_CLOAKSHAPE_WEAP2,1x Fighter Concussion Missile: 1 / 18.75s / 1.8km
TEXT_STATBLOCK_CLONE_HERO_ARC170_BASE,Health: 180 [2%/5s] | Shields: 150
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_BASE,Health: 13 | Shields: 3
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_MOVE,Speed: 6.87 | Maneuverability: 4.32
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_SQUADRON,Squadron: 12x Dunelizard Fighter
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_SQUADRON_DOUBLE,Squadron: 24x Dunelizard Fighter
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_SQUADRON_HALF,Squadron: 6x Dunelizard Fighter
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_WEAP1,1x Fighter Flechette Slugthrower: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_WEAP2,1x Fighter Proton Torpedo: 1 / 50.0s / 1.8km
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_BASE,Health: 12 | Shields: 3
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_MOVE,Speed: 6.87 | Maneuverability: 4.32
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_SQUADRON,Squadron: 12x Dunelizard Interceptor
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_SQUADRON_DOUBLE,Squadron: 24x Dunelizard Interceptor
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_SQUADRON_HALF,Squadron: 6x Dunelizard Interceptor
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_WEAP1,1x Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_G1_BASE,Health: 11 | Shields: 6
TEXT_STATBLOCK_G1_SQUADRON,Squadron: 12x G-1 Starfighter
TEXT_STATBLOCK_G1_SQUADRON_DOUBLE,Squadron: 24x G-1 Starfighter
TEXT_STATBLOCK_G1_SQUADRON_HALF,Squadron: 6x G-1 Starfighter
TEXT_STATBLOCK_G1_WEAP1,1x Heavy Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_H_WING_BASE,Health: 25 | Shields: 13
TEXT_STATBLOCK_H_WING_MOVE,Speed: 6.5 | Maneuverability: 2.95
TEXT_STATBLOCK_H_WING_SQUADRON,Squadron: 12x H-wing
TEXT_STATBLOCK_H_WING_SQUADRON_DOUBLE,Squadron: 24x H-wing
TEXT_STATBLOCK_H_WING_SQUADRON_HALF,Squadron: 6x H-wing
TEXT_STATBLOCK_H_WING_WEAP1,1x Heavy Fighter Laser Cannon: 2 / 2.0s / 1.0km
TEXT_STATBLOCK_H_WING_WEAP2,1x Fighter Ion Cannon: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_H_WING_WEAP3,1x Proton Rocket (AC): 1 / 15.0s / 3.0km
TEXT_STATBLOCK_H_WING_WEAP4,1x Concussion Bomb (AC): 1 / 15.0s / 0.8km
TEXT_STATBLOCK_I_BEAM_BASE,Health: 17 | Unshielded
TEXT_STATBLOCK_I_BEAM_MOVE,Speed: 7.2 | Maneuverability: 4.5
TEXT_STATBLOCK_I_BEAM_SQUADRON,Squadron: 12x I-BEAM Star Fighter
TEXT_STATBLOCK_I_BEAM_SQUADRON_DOUBLE,Squadron: 24x I-BEAM Star Fighter
TEXT_STATBLOCK_I_BEAM_SQUADRON_HALF,Squadron: 6x I-BEAM Star Fighter
TEXT_STATBLOCK_I_BEAM_WEAP1,1x Fighter Laser Cannon: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_I_BEAM_WEAP2,1x Fighter Laser Cannon: 2 / 3.0s / 1.0km
TEXT_STATBLOCK_KIMOGILA_BASE,Health: 22 | Shields: 8
TEXT_STATBLOCK_KIMOGILA_ESCORT_BASE,Health: 130 | Shields: 45
TEXT_STATBLOCK_KIMOGILA_MOVE,Speed: 6.35 | Maneuverability: 2.57
TEXT_STATBLOCK_KIMOGILA_SQUADRON,Squadron: 12x M12-L Kimogila Heavy Fighter
TEXT_STATBLOCK_KIMOGILA_SQUADRON_DOUBLE,Squadron: 24x M12-L Kimogila Heavy Fighter
TEXT_STATBLOCK_KIMOGILA_SQUADRON_HALF,Squadron: 6x M12-L Kimogila Heavy Fighter
TEXT_STATBLOCK_KIMOGILA_WEAP1,1x Heavy Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_KIMOGILA_WEAP2,1x Proton Rocket (AC): 1 / 25.0s / 3.0km
TEXT_STATBLOCK_KIMOGILA_WEAP3,1x Concussion Bomb (AC): 1 / 25.0s / 0.8km
TEXT_STATBLOCK_KRAYT_GUNSHIP_BASE,Health: 29 | Shields: 13
TEXT_STATBLOCK_KRAYT_GUNSHIP_MOVE,Speed: 6.1 | Maneuverability: 2.57
TEXT_STATBLOCK_KRAYT_GUNSHIP_SQUADRON,Squadron: 12x M22-T Krayt Gunship
TEXT_STATBLOCK_KRAYT_GUNSHIP_SQUADRON_DOUBLE,Squadron: 24x M22-T Krayt Gunship
TEXT_STATBLOCK_KRAYT_GUNSHIP_SQUADRON_HALF,Squadron: 6x M22-T Krayt Gunship
TEXT_STATBLOCK_KRAYT_GUNSHIP_WEAP1,1x Heavy Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_KRAYT_GUNSHIP_WEAP2,1x Fighter Ion Cannon: 3 / 2.0s / 1.0km
TEXT_STATBLOCK_KRAYT_GUNSHIP_WEAP3,1x Fighter Assault Concussion Missile: 1 / 18.75s / 1.8km
TEXT_STATBLOCK_MANKVIM_BASE,Health: 7 | Shields: 3
TEXT_STATBLOCK_MANKVIM_ESCORT_BASE,Health: 80 | Shields: 35
TEXT_STATBLOCK_MANKVIM_MOVE,Speed: 7.1 | Maneuverability: 5.1 
TEXT_STATBLOCK_MANKVIM_SQUADRON,Squadron: 12x Mankvim-814 Light Interceptor
